tipo,username,nombre_completo,url_perfil,foto,facebook_id,interaccion,texto_comentario
AMIGO,paola.hrdz.514226,,https://www.facebook.com/paola.hrdz.514226/,,,,
AMIGO,ChrisSummerJ,,https://www.facebook.com/ChrisSummerJ/,,,,
AMIGO,pablo.ruiz.346366,,https://www.facebook.com/pablo.ruiz.346366/,,,,
AMIGO,karen.luna.738686,,https://www.facebook.com/karen.luna.738686/,,,,
AMIGO,diego.doctorcontreras,,https://www.facebook.com/diego.doctorcontreras/,,,,
AMIGO,karin.maldo,,https://www.facebook.com/karin.maldo/,,,,
AMIGO,ramses.vega.613285,,https://www.facebook.com/ramses.vega.613285/,,,,
AMIGO,diego.monroyresendiz.1,,https://www.facebook.com/diego.monroyresendiz.1/,,,,
AMIGO,sg.humbert,,https://www.facebook.com/sg.humbert/,,,,
AMIGO,edwin.ortiz.1671897,,https://www.facebook.com/edwin.ortiz.1671897/,,,,
AMIGO,ari.sotelo.77,,https://www.facebook.com/ari.sotelo.77/,,,,
AMIGO,adistair.santiago.sanchez,,https://www.facebook.com/adistair.santiago.sanchez/,,,,
AMIGO,rogelio.garciaacosta,,https://www.facebook.com/rogelio.garciaacosta/,,,,
AMIGO,ulises.vargasoropeza,,https://www.facebook.com/ulises.vargasoropeza/,,,,
AMIGO,yocelinarlette.obregon,,https://www.facebook.com/yocelinarlette.obregon/,,,,
AMIGO,alexia.aguilarsalceda,,https://www.facebook.com/alexia.aguilarsalceda/,,,,
AMIGO,yair.gmartinez.9,,https://www.facebook.com/yair.gmartinez.9/,,,,
AMIGO,karen.hernandez.228394,,https://www.facebook.com/karen.hernandez.228394/,,,,
AMIGO,Alan.Aldair55,,https://www.facebook.com/Alan.Aldair55/,,,,
AMIGO,carlos.bv.94402,,https://www.facebook.com/carlos.bv.94402/,,,,
AMIGO,tim.rodriguez.376,,https://www.facebook.com/tim.rodriguez.376/,,,,
AMIGO,chris.catano.444763,,https://www.facebook.com/chris.catano.444763/,,,,
AMIGO,jose.reyes.847758,,https://www.facebook.com/jose.reyes.847758/,,,,
AMIGO,hacks201,,https://www.facebook.com/hacks201/,,,,
AMIGO,emanuel.dr.2025,,https://www.facebook.com/emanuel.dr.2025/,,,,
AMIGO,yaz.bless.16,,https://www.facebook.com/yaz.bless.16/,,,,
